id_desk,kode_satker,id_pengguna,link,keterangan,pjk,target_bulan,progress,created_at,updated_at,status
65,1100,1,https://drive.google.com/drive/folders/1fPwIU94YzDjWXkTAOpBpSPty3YJ07e5F?usp=drive_link,,Sub Pilar MR,,,,,
66,1100,1,https://drive.google.com/drive/folders/1livDhLMefIWa75cCO3Hvh8BQTVY6n1Vq?usp=drive_link,,Sub Pilar PM,,,,,
67,1100,1,,,Sub Pilar PM,,,,,
68,1100,1,,,Sub Pilar PM,,,,,
69,1100,1,,,Sub Pilar PM,,,,,
70,1100,1,https://drive.google.com/drive/folders/1fCiCjYuNLsQZrYPSsKM6Fq9OOTqmaNoY?usp=drive_link,,Sub Pilar PM,,,,,
71,1100,1,https://drive.google.com/drive/folders/12MhN6h5qSyH4_qKPPJ8qL1UPx55CEqTl?usp=drive_link,,Sub Pilar PM,,,,,
72,1100,1,https://drive.google.com/drive/folders/1fiR6SXCaFpcaAOe5t_BUcETXTBlVcOUm?usp=drive_link,,Sub Pilar PM,,,,,
73,1100,1,https://drive.google.com/drive/folders/1j9xdod4eT8UWa6EOflXclld_uykfjBad?usp=drive_link,,Sub Pilar WBS,,,,,
74,1100,1,,,Sub Pilar WBS,,,,,
75,1100,1,,,Sub Pilar WBS,,,,,
76,1100,1,https://drive.google.com/drive/folders/12VcS9IatI-8LsS01jtIAf0whMLxuQi_z?usp=drive_link,,Sub Pilar WBS,,,,,
77,1100,1,https://drive.google.com/drive/folders/1WDV847r7OUA2iLyMMqJt7r5eaE7KVIrM?usp=drive_link,,Sub Pilar WBS,,,,,
78,1100,1,https://drive.google.com/drive/folders/1pCjwBtLfYDjJIjxYduzUlHuN9opJy610?usp=drive_link,,Sub Pilar PBK,,,,,
79,1100,1,https://drive.google.com/drive/folders/1QiJ1yiuQCARKk3o0XEvGfEISqQUWC1M8?usp=drive_link,,Sub Pilar PBK,,,,,
80,1100,1,https://drive.google.com/drive/folders/1reLAbK9XCHp8OK_9ynF2BmJyzVSWiCio?usp=drive_link,,Sub Pilar PBK,,,,,
81,1100,1,https://drive.google.com/drive/folders/1tgKWy4Nv6FzuZI6-BOR2QD6Ja2D4MWyT?usp=drive_link,,Sub Pilar PBK,,,,,
82,1100,1,https://drive.google.com/drive/folders/15LqW8OpsKrZseWHckeGjdVYL9aAxeAb1?usp=drive_link,,Sub Pilar PBK,,,,,
83,1100,1,https://drive.google.com/drive/folders/1Y0M6vhh6Teuf1TfOnFctMqoSdG4N30Qc?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
84,1100,1,https://drive.google.com/drive/folders/1YAT9bH3xA30lcR2IuQoUwE32NAZIGGx5?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
85,1100,1,https://drive.google.com/drive/folders/1BRVkBN6HRdDZp6JdGlpCIP6tPMULpcxB?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
86,1100,1,https://drive.google.com/drive/folders/1Y0M6vhh6Teuf1TfOnFctMqoSdG4N30Qc?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
87,1100,1,https://drive.google.com/drive/folders/1xI4Shw_p-lFRvc5O4yPpjjf0Ctgu9MU2?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
88,1100,1,https://drive.google.com/drive/folders/1qqnIhMG1DzlBHIeaK0h9sajDTAQRbFY2?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
89,1100,1,https://drive.google.com/drive/folders/1Gh5xUvg8z26VgoV1zdVJVOr7fpb9lRxY?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
90,1100,1,https://drive.google.com/drive/folders/1NnakQmIfbh_X9SXOMJL55uc20f8J9WbL?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
91,1100,1,https://drive.google.com/drive/folders/1mLH9SpZlnwrMME_GosRO4Y-Y2nL8EBQ_?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
92,1100,1,https://drive.google.com/drive/folders/1bGOY7NckXLOSeRiom6bCAUj63nBOfjSs?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
93,1100,1,https://drive.google.com/drive/folders/10OjiknpvM60yNIb3QYZqZ5piM5vz1i0K?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
94,1100,1,https://drive.google.com/drive/folders/1VKwdFo59iJ3dwzR_El-IlOQlcx4lRCyQ?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
95,1100,1,https://drive.google.com/drive/folders/18ojie6Qu--sMtY31G0mH_ii4f4RCr-un?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
96,1100,1,https://drive.google.com/drive/folders/15A710Ocmr1XpNlBVTuw8Brq3przLZK-I?usp=drive_link,Belum ada bukti rekomendasi dan rencana perbaikan,TIm Diseminasi dan Pelayanan Statistik,,,,,
97,1100,1,https://drive.google.com/drive/folders/14JZ1i6i9gsp5-vS_kQRPZkLn_Vt9DNuj?usp=drive_link,Belum terdapat bukti unggahan,TIm Diseminasi dan Pelayanan Statistik,,,,,
98,1100,1,https://drive.google.com/drive/folders/1YHGCEhgT5W2yDBsCSHPVeSCVBpmqnSsu?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
